dataset, FL categorical size, categorical dimension, MSE, model space complexity
emnist,	16,	32,	0.0162,	2^{80}
emnist,	16,	16,	0.016,	2^{64}
emnist,	32,	8,	0.0106,	2^{96}
emnist,	32,	2,	0.0274,	2^{32}
emnist,	32,	16,	0.0115,	2^{128}
emnist,	32,	4,	0.0126,	2^{64}
emnist,	32,	32,	0.0116,	2^{160}
emnist,	64,	32,	0.0086,	2^{320}
emnist,	64,	2,	0.0157,	2^{64}
emnist,	64,	16,	0.0088,	2^{256}
emnist,	64,	8,	0.008,	2^{192}
emnist,	64,	4,	0.0088,	2^{128}
emnist,	128,	8,	0.0068,	2^{384}
emnist,	128,	4,	0.0066,	2^{256}
emnist,	128,	2,	0.0105,	2^{128}
emnist,	128,	16,	0.0068,	2^{512}
emnist,	256,	2,	0.0077,	2^{256}
emnist,	256,	4,	0.0056,	2^{512}
